route	focusable_controls_seen	focus_visual_detected	main_controls_seen	enter_space_basic	focus_order_sample
/apoema/artifacts	35	true	true	not_destructive_not_pressed	A:Visão geral > A:Ativos > A:Usuários > A:Movimentações > A:Assinaturas > A:Estoque > A:Importações > A:Macros ITIL > A:Auditoria > A:IA > A:ArtefatosBackend > A:RAGMock > A:DesignerBeta controlado > A:Integrações > A:Ajustes > BUTTON:Claro > BUTTON:Escuro > BUTTON:Automático > INPUT: > BUTTON:Recarregar > BUTTON:Obter link > BUTTON:Excluir > BODY:ApoemaConsole Inteligente de Operações, Inventário e Suporte N2Visão geralAtivos > A:Visão geral > A:Ativos > A:Usuários > A:Movimentações > A:Assinaturas > A:Estoque > A:Importações > A:Macros ITIL > A:Auditoria > A:IA > A:ArtefatosBackend > A:RAGMock > A:DesignerBeta controlado
/apoema/rag	35	true	true	not_destructive_not_pressed	A:Visão geral > A:Ativos > A:Usuários > A:Movimentações > A:Assinaturas > A:Estoque > A:Importações > A:Macros ITIL > A:Auditoria > A:IA > A:ArtefatosBackend > A:RAGMock > A:DesignerBeta controlado > A:Integrações > A:Ajustes > BUTTON:Claro > BUTTON:Escuro > BUTTON:Automático > BUTTON:Recarregar > BUTTON:CursosTrilhas e materiais operacionais aprovados para o mock ENS.2 docs · 26/06/ > BUTTON:InstitucionalPolíticas e conteúdo institucional mockados para validação.1 docs · > BUTTON:MarketingMateriais de comunicação mockados sem dados sensíveis.1 docs · 26/06/20 > BUTTON:InsightsObservações operacionais redigidas e determinísticas.1 docs · 26/06/2026 > SELECT:TodasCursosInstitucionalMarketingInsights > INPUT:Buscar nos documentos mock > BUTTON:Pesquisar > BODY:ApoemaConsole Inteligente de Op
/apoema/designer	35	true	true	not_destructive_not_pressed	A:Visão geral > A:Ativos > A:Usuários > A:Movimentações > A:Assinaturas > A:Estoque > A:Importações > A:Macros ITIL > A:Auditoria > A:IA > A:ArtefatosBackend > A:RAGMock > A:DesignerBeta controlado > A:Integrações > A:Ajustes > BUTTON:Claro > BUTTON:Escuro > BUTTON:Automático > BUTTON:Recarregar > SELECT:Feed Instagram · GraduaçãoStory Instagram · Pós-graduaçãoBanner interno desktopB > SELECT:01_feed_instagram02_story_instagram03_banner_interno_desktop04_banner_interno_mo > SELECT:graduacaoimersoesinstitucionalposqualificacoestudo-sobre-seguros > SELECT:peca_unicaenxoval > TEXTAREA:Banner institucional determinístico para validação Apoema M6B. > BUTTON:Criar job mock > BODY:ApoemaConsole Inteligente de Operações, Inventário e Suporte N2Visão geralAtivos > A:Visão geral > A:Ativos > A:Usuár
